item_id,year,title
304,1997,King of the Hill: Season 1
305,1996,Jack
311,1994,Ed Wood
312,2000,High Fidelity
313,2000,Pay It Forward
316,1999,Futurama: Monster Robot Maniac Fun Collection
329,1999,Dogma
330,1998,Wild Things
331,1997,Chasing Amy
334,2005,The Pacifier
337,1983,Star 80
341,2004,Tremors 4: The Legend Begins
344,1967,The Taming of the Shrew
345,1998,Star Trek: Voyager: Season 5
348,1988,The Last Temptation of Christ
353,2002,Life or Something Like It
356,2005,Look at Me
357,2003,House of Sand and Fog
358,1979,The Onion Field
359,2003,Absolutely Fabulous: Series 5
360,1999,Lies
361,2004,The Phantom of the Opera: Special Edition
362,2000,The Flintstones in Viva Rock Vegas
367,2003,Spun
371,1966,The Trouble with Angels
375,2003,Nine Dead Gay Guys
378,2003,Party Monster
381,1991,Out for Justice
385,2002,The Santa Clause 2
390,1981,The Fan
393,1998,The Replacement Killers
395,1935,Captain Blood
398,1976,In the Realm of the Senses
400,1970,Rio Lobo
401,1989,Halloween 5: The Revenge of Michael Myers
405,1987,Wings of Desire
406,2005,Hostage
408,1990,Nightbreed
413,2002,Igby Goes Down
416,2003,Elephant
418,2004,The Deal
420,1999,Saturday Night Live: The Best of Dana Carvey
422,1964,The Unsinkable Molly Brown
424,1998,Happiness
425,2000,The 10th Kingdom
426,2001,Recess: School's Out
427,1990,Graveyard Shift
431,2002,Millennium Actress
432,1996,Les Miserables in Concert
433,1993,Untamed Heart
436,1985,Girls Just Want to Have Fun
438,1997,Bean: The Movie
442,1988,Mississippi Burning
443,2002,Rabbit-Proof Fence
445,1996,Michael Collins
452,2002,Scorched
454,1995,Xena: Warrior Princess: Season 3
456,1996,Emma (Miniseries)
457,2004,Kill Bill: Vol. 2
459,1996,Basquiat
463,1962,The Twilight Zone: Vol. 12
468,2003,The Matrix: Revolutions
471,1931,City Lights
473,1997,Princess Mononoke
474,1998,Legend of 1900
476,2004,VeggieTales Classics: Where's God When I'm Scared?
477,1990,George Carlin: Personal Favorites
482,2002,Frida
483,2001,Rush Hour 2
486,1959,Journey to the Center of the Earth
488,2001,His Secret Life
489,1998,Return to Paradise
494,1983,Monty Python's The Meaning of Life: Special Edition
499,2000,Under Suspicion
501,1975,Three Days of the Condor
504,1964,The Twilight Zone: Vol. 27
505,1997,A Thousand Acres
516,2001,Monsoon Wedding
517,2001,Two Can Play That Game
518,1969,The Prime of Miss Jean Brodie
524,1999,Mumford
528,2005,The Hitchhiker's Guide to the Galaxy
533,1991,Drop Dead Fred
534,2000,With a Friend Like Harry
535,1960,The Alamo
548,1991,Hudson Hawk
550,1995,First Knight
551,1994,The Santa Clause
554,1972,Solaris
561,1963,High and Low
563,2001,Jimmy Neutron: Boy Genius
564,1990,Predator 2
569,1979,The In-Laws
571,1999,American Beauty
575,1994,Highlander: Season 4
577,1961,The Twilight Zone: Vol. 36
579,1973,The Autobiography of Miss Jane Pittman
580,1971,THX 1138: Special Edition
582,1986,Jo Jo Dancer
585,1995,My Family
586,1995,Shanghai Triad
588,1990,Blue Planet: IMAX
599,1989,Sea of Love
600,1966,What's Up
607,1994,Speed
615,1999,An Ideal Husband
621,1997,Armageddon
629,1984,Firestarter
631,2005,Unleashed
636,1980,Stir Crazy
638,1985,The Last Dragon
643,2002,Buying the Cow
645,2004,Dear Frankie
646,1987,Matewan
652,1996,Marvin's Room
657,1996,Highlander: Season 5
658,1991,Robin Hood: Prince of Thieves
659,1972,The Last House on the Left
660,2000,Saving Grace
661,2002,Who is Cletis Tout?
662,1995,Rob Roy
668,2004,Saturday Night Live: The Best of Will Ferrell 2
670,2002,He Loves Me
672,1991,He Said
674,1988,Hellbound: Hellraiser II
676,1998,Mafia!
677,2001,In the Mood for Love
680,2000,Better Than Sex
681,1986,Police Academy 3: Back in Training
682,1998,The Mighty
686,2000,Bedazzled
689,1998,One True Thing
692,1992,The Hand that Rocks the Cradle
693,1996,The Quest
696,1996,Last Man Standing
700,1997,Todd McFarlane's Spawn
705,1989,Major League
707,2003,The Return
708,2000,The Perfect Storm
711,1994,Dolores Claiborne
717,2004,Testosterone
720,1989,Roger & Me
722,2003,The Wire: Season 1
723,1991,Curly Sue
725,2004,Woman Thou Art Loosed
730,1988,Bagdad Cafe
731,1997,Mr. Magoo
732,2005,11:14
733,1988,Dead Ringers
734,1992,Indochine
746,2001,Domestic Disturbance
748,2002,I Can Do Bad All By Myself
749,1990,Ernest Goes to Jail
750,2004,The Librarian: Quest for the Spear
751,1998,Halloween: H2O
752,1993,Star Trek: The Next Generation: Season 7
754,1984,The Lonely Guy
758,2004,Mean Girls
759,2001,Fifteen Minutes
760,2005,Pooh's Heffalump Movie
761,2000,O Fantasma
762,2004,End of the Century: The Story of the Ramones
763,1972,The Poseidon Adventure
774,2003,Foyle's War: Set 2
788,1994,Clerks
789,1991,Boyz N the Hood
798,1975,Jaws
807,1959,The Mouse That Roared
808,1998,Dead Man on Campus
809,2002,Left Behind II: Tribulation Force
811,1992,The Lawnmower Man
817,1980,My Bodyguard
818,1976,Logan's Run
819,1998,The Faculty
822,2001,Star Trek: Enterprise: Season 1
825,1983,Bill Cosby: Himself
829,1995,Serial Mom
831,1987,Mannequin
832,2003,Tupac: Resurrection
833,1996,White Squall
840,1941,The Lady Eve
843,1999,Mansfield Park
846,2004,Enduring Love
850,2002,Stoked: The Rise and Fall of Gator
851,1990,Back to the Future Part III
859,1982,Creepshow
862,2002,Tuck Everlasting
872,1954,Seven Samurai
883,1992,Deep Cover
886,2004,Ray
889,2004,Reno 911: Season 2
894,1999,The Muse
895,1975,Dersu Uzala
896,1995,Dangerous Minds
897,2004,Bride and Prejudice
900,1994,Eat Drink Man Woman
907,1930,Animal Crackers
908,1981,Sense and Sensibility
918,1964,A Hard Day's Night: Collector's Series
919,2002,Comedian
931,1998,Another Day in Paradise
937,1998,Fallen
940,1997,Hercules
942,1994,The Pagemaster
952,1940,My Favorite Wife
953,1966,Fahrenheit 451
954,2003,I Capture the Castle
956,1994,Blankman
961,1957,Love in the Afternoon
962,2002,I Spy
963,1951,A Streetcar Named Desire
964,2001,The Tick: The Entire Series
971,2002,Unprecedented: The 2000 Presidential Election
977,2000,Our Lady of the Assassins
978,2000,Yi Yi
985,1999,The Mummy
986,2002,The Trip
988,1951,Operation Pacific
989,2004,The Door in the Floor
990,1941,Meet John Doe
992,1972,The Cowboys
993,1994,The Shadow
994,1984,Children of the Corn
996,1961,Yojimbo
1001,2001,Blow Dry
1011,1983,All the Right Moves
1012,1960,13 Ghosts
1020,1989,The Simpsons: Season 1
1021,1984,Cloak & Dagger
1022,1993,The Snapper
1026,1985,Silver Bullet
1027,1993,Rising Sun
1032,1992,Hard Boiled
1035,1994,Disclosure
1043,1987,Outrageous Fortune
1044,1968,The Party
1045,1988,For Keeps
1046,2003,Uptown Girls
1047,2000,Aimee and Jaguar
1050,1982,Annie: Special Anniversary Edition
1055,1977,The Duellists
1058,1972,Play it Again
1060,2005,King's Ransom
1066,1978,Superman: The Movie
1068,1998,Ringu
1073,2005,Coach Carter
1074,1946,The Postman Always Rings Twice
1075,2001,Tape
1080,2002,Hysterical Blindness
1087,1994,Monkey Trouble
1089,2000,The Land Before Time VII: Stone of Cold Fire
1092,1996,Thin Line Between Love & Hate
1094,2002,Nicholas Nickleby
1096,1989,Harlem Nights
1098,1965,The Battle of Algiers
1100,2000,Dr. T & the Women
1102,2001,Training Day
1103,1997,Jane Eyre
1104,1983,Krull
1110,2003,Secondhand Lions
1111,1972,Cries and Whispers
1116,1984,Runaway
1120,1982,Quest for Fire
1123,1993,Dragon: The Bruce Lee Story
1126,2003,Uncovered: The Whole Truth About the Iraq War
1129,1935,Mutiny on the Bounty
1130,1991,Impromptu
1132,1994,Romeo is Bleeding
1134,2005,Empire Falls
1138,2003,Freddy vs. Jason
1140,1996,To Gillian on her 37th Birthday
1142,1981,Polyester
1144,1991,Fried Green Tomatoes
1145,2001,The Wedding Planner
1148,1981,For Your Eyes Only
1151,2001,Valentine
1160,1999,In Too Deep
1163,1984,2010: The Year We Make Contact
1172,1998,Krippendorf's Tribe
1173,1999,Walking with Dinosaurs
1174,1993,The Sandlot
1175,1984,Repo Man
1176,2001,The Devil's Backbone
1179,1997,The Education of Little Tree
1180,2001,A Beautiful Mind
1193,1998,Beloved
1200,1999,Teaching Mrs. Tingle
1201,1991,True Colors
1202,1983,National Lampoon's Vacation
1208,1963,The Twilight Zone: Vol. 15
1210,1981,Zorro
1216,1993,Fire in the Sky
1218,1972,Frenzy
1220,2004,Man on Fire
1221,1980,Seems Like Old Times
1222,1979,Little House on the Prairie: Season 6
1224,1947,The Ghost and Mrs. Muir
1226,1971,Summer of '42
1234,1994,Crooklyn
1236,2002,Ali G Indahouse
1238,1984,The Pope of Greenwich Village
1245,1994,Threesome
1250,1996,Brassed Off
1252,1975,The Story of O
1255,1985,Better Off Dead
1256,1994,The Best of Friends: Vol. 4
1260,1999,Journey to the Center of the Earth
1262,1982,Dead Men Don't Wear Plaid
1264,2000,The Closet
1266,2003,Ghosts of the Abyss
1267,2001,Dr. Dolittle 2
1270,2000,The Great Gatsby
1274,1984,At Close Range
1277,1988,Red Dwarf: Series 3
1282,2002,Blind Spot: Hitler's Secretary
1289,1990,Look Who's Talking Too
1291,1960,The Twilight Zone: Vol. 19
1292,2002,Ararat
1293,1996,Children of the Corn 4: The Gathering
1295,1983,Strange Brew
1297,1999,Agnes Browne
1298,2000,Hellraiser V: Inferno
1299,1972,Scooby-Doo Meets Batman
1300,1973,Return of the Dragon
1305,2003,Thirteen
1307,2003,S.W.A.T.
1314,1990,Presumed Innocent
1324,1994,The Professional
1329,1998,He Got Game
1336,1994,Wolf
1357,2003,Stargate SG-1: Season 7
1359,1975,Funny Lady
1363,1993,Leprechaun
1364,2003,Normal
1365,1998,Kurt & Courtney
1367,1993,The Piano
1370,1976,Marathon Man
1373,1993,The Program
1375,2002,Food of Love
1384,1973,Walking Tall
1392,2002,Live From Baghdad
1394,1999,Bringing Out the Dead
1395,1963,Charade
1399,1984,1984
1401,1992,Passion Fish
1406,1991,Hook
1408,1999,The Limey
1409,2003,The O.C.: Season 1
1412,2001,Sordid Lives
1421,1981,My Dinner with Andre
1425,1987,No Way Out
1428,2003,The Recruit
1432,1999,Ride with the Devil
1435,2001,Wallace & Gromit in Three Amazing Adventures
1441,1998,Stargate SG-1: Season 2
1450,1993,Geronimo: An American Legend
1455,2003,Belly of the Beast
1466,1969,Midnight Cowboy
1467,1993,Three Musketeers
1470,2002,Bend It Like Beckham
1471,2004,Voices of Iraq
1476,2004,Six Feet Under: Season 4
1479,2002,Man on the Train
1481,2001,Porn Star: The Legend of Ron Jeremy
1482,2003,Beyond Borders
1495,2001,Alias: Season 1
1502,1999,Superstar
1503,1997,The Boxer
1507,1999,The Hunchback of Notre Dame
1509,2002,National Lampoon's Van Wilder
1513,1962,The Twilight Zone: Vol. 42
1514,1987,Amazon Women on the Moon
1518,1995,Casper
1521,1955,The Trouble With Harry
1525,2001,Monkeybone
1528,1992,Radio Flyer
1530,2002,Rose Red
1532,1992,Mo' Money
1542,1993,Sleepless in Seattle
1543,1995,Nick of Time
1547,1939,The Women
1552,1983,Black Adder
1553,1995,Persuasion
1558,1990,Rocky V
1561,2003,American Wedding
1571,1982,Poltergeist
1578,1995,Nine Months
1582,1990,Stephen King's It!
1585,2001,Joy Ride
1589,1988,Shoot to Kill
1590,2001,Life as a House
1594,1962,Damn the Defiant
1595,1949,The Third Man
1599,2000,Fantasia 2000
1600,1995,Poison Ivy 2
1602,2000,Dungeons & Dragons
1604,2004,Tae Guk Gi: The Brotherhood of War
1607,2004,Superbabies: Baby Geniuses 2
1610,1999,Get Real
1615,1995,The American President
1618,1984,Nausicaa of the Valley of the Wind
1625,1986,Aliens: Collector's Edition
1627,1940,The Shop Around the Corner
1632,2004,Mean Creek
1633,1988,The Serpent and the Rainbow
1637,2002,Trapped
1638,1966,The Fortune Cookie
1642,1995,Casino: 10th Anniversary Edition
1645,2003,The In-Laws
1646,1983,The Dead Zone
1650,1980,Nine to Five
1652,1961,The Twilight Zone: Vol. 37
1655,1988,Talk Radio
1656,1998,Two Girls and a Guy
1659,1993,Grumpy Old Men
1660,2000,SpongeBob SquarePants: Season 2
1661,1976,The Bad News Bears
1664,1998,The King of Queens: Season 2
1665,1998,Orgazmo
1666,1995,The Brady Bunch Movie
1668,1982,Friday the 13th: Part 3
1673,1991,Defending Your Life
1682,1997,Absolute Power
1689,2003,Concert for George
1692,1989,Lonesome Dove
1693,1998,Sphere
1694,1999,A Lesson Before Dying
1700,1996,Bottle Rocket
1703,1998,Ever After: A Cinderella Story
1704,2004,The Three Musketeers
1707,2004,Outfoxed: Rupert Murdoch's War on Journalism
1708,1936,Modern Times
1709,1981,Clash of the Titans
1719,2004,The Life Aquatic with Steve Zissou
1721,2002,Waking Up in Reno
1722,1944,Henry V
1728,1987,Married... with Children: The Most Outrageous Episodes: Vol. 2
1734,2003,Young Black Stallion
1735,1974,Amarcord
1741,1999,Cowboy Bebop Remix
1743,1979,The Warriors
1744,1984,Beverly Hills Cop
1746,1994,Bob Roberts
1754,1984,Sixteen Candles
1756,1974,Murder on the Orient Express
1757,1978,The Lord of the Rings
1759,1990,Into the Woods
1760,1991,Switch
1765,1996,First Kid
1766,1978,All Creatures Great and Small: Series 1
1770,1995,Trainspotting
1771,2004,A Dirty Shame
1780,1998,Behind the Planet of the Apes
1783,1982,The Best Little Whorehouse in Texas
1788,2004,Earthsea
1790,1966,Born Free
1792,1998,Psycho
1794,1999,The Rage: Carrie 2
1795,1978,MASH: Season 7
1798,1987,Lethal Weapon
1799,1990,Die Hard 2: Die Harder
1800,2002,An Evening With Kevin Smith
1803,1997,Alien: Resurrection: Collector's Edition
1804,2002,The Twilight Samurai
1810,1998,U.S. Marshals
1814,1998,Dance with Me
1816,2003,Northfork
1819,1998,Species II
1821,1970,Le Cercle Rouge
1832,1968,Rosemary's Baby
1833,2003,Alex and Emma
1834,1994,Farinelli
1837,1987,Tin Men
1839,2001,The Caveman's Valentine
1843,1994,Beverly Hills Cop III
1844,1989,Casualties of War
1845,1995,Gordy
1848,1956,Samurai Trilogy 3: Duel at Ganryu Island
1851,1958,I Want to Live!
1853,1974,Death Wish
1854,2001,Crazy/Beautiful
1856,1960,The Twilight Zone: Vol. 39
1860,1995,Shall We Dance?
1861,2001,Evolution
1862,1999,Three to Tango
1865,2004,Eternal Sunshine of the Spotless Mind
1866,1994,Sirens
1867,1999,Annie
1877,1995,Friends: Season 2
1878,1966,The Ghost and Mr. Chicken / The Reluctant Astronaut: Double Feature
1882,1954,I Love Lucy: Season 4
1884,2001,Captain Corelli's Mandolin
1885,2002,The Osbournes: Season 1 (Uncensored)
1890,1991,Regarding Henry
1901,1978,Cheech & Chong's Up in Smoke
1902,1979,Star Trek: The Motion Picture
1905,2003,Pirates of the Caribbean: The Curse of the Black Pearl
1912,1961,The Comancheros
1913,2000,Calle 54
1918,2004,The Alamo
1923,1986,Pee-Wee's Playhouse: Vol. 1
1925,1980,Urban Cowboy
1931,1981,Eye of the Needle
1939,1979,The Amityville Horror
1947,2002,Gilmore Girls: Season 3
1955,1999,The Story of Us
1956,2000,Cirque du Soleil: Dralion
1959,1961,Splendor in the Grass
1962,2004,50 First Dates
1963,2000,Beautiful Creatures
1969,1954,The Caine Mutiny
1971,1995,Under Siege 2: Dark Territory
1972,1953,Gentlemen Prefer Blondes
1974,1995,Il Postino
1975,2000,Hollow Man
1976,2000,Here on Earth
1983,2001,Final Fantasy: The Spirits Within
1994,2005,The L Word: Season 2
1998,2005,Saving Face
2000,1994,Four Weddings and a Funeral
2001,1992,Under Siege
2009,1999,The Talented Mr. Ripley
2012,2002,The Importance of Being Earnest
2015,2002,Talk to Her
2016,2002,The Magdalene Sisters
2019,2004,Samurai Champloo
2033,2004,Head in the Clouds
2037,1985,Fright Night
2040,1991,Star Trek: The Next Generation: Season 5
2043,1953,Shane
2045,2003,The Blind Swordman: Zatoichi
2047,1981,Omen III: The Final Conflict
2051,1984,Tightrope
2057,2001,Buffy the Vampire Slayer: Season 6
2072,1989,K-9
2077,1999,This Is My Father
2078,2002,Half Past Dead
2080,2001,Holiday in the Sun
2095,1997,Liar Liar
2102,1994,The Simpsons: Season 6
2103,1999,Sunshine
2104,1989,Kickboxer
2109,1982,Grease 2
2111,1968,The Twilight Zone: Vol. 33
2112,2003,Identity
2113,2000,Air Bud: World Pup
2114,2002,Firefly
2122,1999,Being John Malkovich
2128,1993,Rudy
2129,1960,The Twilight Zone: Vol. 41
2130,1998,Citizen X
2132,1995,The Enforcer
2135,1997,Nothing to Lose
2136,2001,Not Another Teen Movie
2137,1997,Excess Baggage
2139,1986,The Color of Money
2140,1991,For the Boys
2144,2004,VeggieTales: Dave and the Giant Pickle
2149,1998,Buffalo '66
2152,2000,What Women Want
2153,1993,Free Willy
2161,1993,Six Degrees of Separation
2162,2000,CSI: Season 1
2163,1999,Mystery Men
2164,2004,Rory O'Shea Was Here
2167,1996,Fly Away Home
2171,2003,Brother Bear (Theatrical Widescreen Version)
2172,1991,The Simpsons: Season 3
2173,1998,BASEketball
2174,1996,The Ghost and the Darkness
2176,2000,VeggieTales: Esther
2177,1996,Extreme Measures
2178,1998,Lock
2181,1988,A Better Tomorrow II
2182,2000,All the Pretty Horses
2186,1995,Bad Boys
2188,1983,Eddie and the Cruisers
2189,1981,The Hitchhiker's Guide to the Galaxy
2192,1999,The Hurricane
2195,2004,The Looney Tunes Golden Collection: Vol. 2
2199,1991,Ricochet
2200,2002,Collateral Damage
2209,1981,On Golden Pond
2212,1993,The Secret Garden
2216,1993,The Legend 2
2217,2001,Buffalo Soldiers
2218,1999,Black Adder Back & Forth
2228,2003,VeggieTales: The Ballad of Little Joe
2235,2004,Undertow
2251,1990,The Rookie
2252,1992,Bram Stoker's Dracula
2254,2003,A Guy Thing
2256,2002,Sunshine State
2262,2002,Biggie & Tupac
2266,1985,The Toxic Avenger
2269,2003,People I Know
2276,1998,Spice World
2284,1985,Teen Wolf / Teen Wolf Too (Double Feature)
2285,1996,Unforgettable
2287,1988,The Lair of the White Worm
2290,1992,Aladdin: Platinum Edition
2300,1975,Little House on the Prairie: Season 2
2302,1995,Clockers
2304,1989,Great Balls of Fire!
2310,1943,The Song of Bernadette
2314,1956,Invasion of the Body Snatchers
2316,1983,Breathless
2319,2003,The Looney Tunes Golden Collection: Vol. 1
2326,2002,The Laramie Project
2329,2004,Control Room
2331,1997,Bent
2332,1973,Paper Moon
2335,1951,Father's Little Dividend
2337,1997,Double Team
2338,2001,The Hole
2339,2001,An American Rhapsody
2340,1990,Joe Versus the Volcano
2342,2004,Super Size Me
2346,1992,Batman: The Animated Series: Tales of the Dark Knight
2348,1976,The Omen
2350,1993,The Scent of Green Papaya
2352,1986,Youngblood
2356,2000,The Adventures of Rocky and Bullwinkle
2360,1952,Singin' in the Rain
2362,1994,White
2366,2001,Just Visiting
2370,2001,The Other Side of Heaven
2371,1955,To Catch a Thief
2372,2004,The Bourne Supremacy
2375,1989,Fletch Lives
2376,2000,Scream 3
2379,1956,Giant
2380,1991,Not Without My Daughter
2383,2000,The Queens of Comedy
2385,1999,Center Stage
2386,2002,Pumpkin
2388,1995,Man of the House
2389,1992,The Cutting Edge
2391,2004,Along Came Polly
2394,1998,The Prophecy 2
2395,1996,Scream
2400,1992,Home Alone 2: Lost in New York
2405,2003,MI-5: Vol. 2
2408,1936,My Man Godfrey
2409,1976,Robin and Marian
2411,2004,The Life & Death of Peter Sellers
2418,1960,Sink the Bismarck
2422,2004,Primer
2423,2000,Small Time Crooks
2430,1979,Alien: Collector's Edition
2435,1986,Critters
2440,1976,Little House on the Prairie: Season 3
2441,2001,Smallville: Season 1
2443,1992,Like Water for Chocolate
2448,1991,Prime Suspect 1
2452,2001,Lord of the Rings: The Fellowship of the Ring
2456,1964,A Fistful of Dollars
2457,2004,A Cinderella Story
2460,1983,Cujo
2462,1987,Planes
2464,1999,Trekkies
2465,1984,This Is Spinal Tap
2467,2001,Town & Country
2470,1992,Wayne's World
2471,1983,V: The Complete TV Series
2475,1993,Jason Goes to Hell
2478,1968,The Thomas Crown Affair
2482,1994,My Girl 2
2493,1998,Players Club
2495,2001,Exit Wounds
2498,1973,The Glass Menagerie
2499,2001,America's Sweethearts
2505,1962,Birdman of Alcatraz
2512,1996,Trees Lounge
2518,1995,Things to Do in Denver When You're Dead
2519,2004,A Love Song for Bobby Long
2521,1988,Punchline
2523,1996,Matilda: Special Edition
2525,1942,Sullivan's Travels
2527,2001,Quicksand
2528,1990,Arachnophobia
2532,1999,Futurama: Vol. 1
2533,1995,The Brothers McMullen
2539,1962,The Twilight Zone: Vol. 3
2548,2000,Gilmore Girls: Season 1
2551,1999,Trigun
2554,1975,The Rocky Horror Picture Show
2558,2002,Irreversible
2559,1993,Mystery Science Theater 3000: The Wild World of Batwoman
2566,1999,Stargate SG-1: Season 3
2568,2004,Stargate SG-1: Season 8
2572,2005,The Sandlot 2
2574,2002,Abandon
2577,1995,A Walk in the Clouds
2578,2001,Y Tu Mama Tambien
2580,2003,Freaky Friday
2585,1994,Absolutely Fabulous: Series 2
2590,1992,Newsies
2594,1989,Look Who's Talking
2595,1993,The Vanishing
2599,1959,Black Orpheus
2601,1978,Best of The Muppet Show: Peter Sellers / John Cleese / Dudley Moore
2603,1996,Everybody Loves Raymond: Season 1
2612,2001,Don't Say a Word
2613,1990,Northern Exposure: Season 1
2617,2002,Ghost Ship
2622,1985,Runaway Train
2638,2000,Roswell: Season 2
2640,1997,The Spanish Prisoner
2643,2004,Carolina
2651,1992,Dragon Ball Z: Super Android 13
2654,2001,Justice League: Justice on Trial
2659,2000,Grateful Dawg
2660,1989,When Harry Met Sally
2662,1982,Frances
2668,2001,The Wash
2674,1964,Send Me No Flowers
2675,2002,Solaris
2680,2002,Spy Kids 2: The Island of Lost Dreams
2690,2000,The Emperor's New Groove
2698,1976,Freaky Friday
2699,2003,The Missing
2701,1955,Marty
2705,2001,How High
2708,1999,Candyman 3: Day of the Dead
2711,1998,Dirty Work
2712,1984,The Hitcher
2724,1995,The Incredibly True Adventure of 2 Girls in Love
2727,1985,The Golden Girls: Season 1
2731,1995,Tank Girl
2732,2001,Uprising
2734,2001,From Hell
2735,1954,Seven Brides for Seven Brothers: 50th Anniversary Edition
2738,1993,Born Yesterday
2743,2002,The Pianist
2749,1999,The Big Tease
2751,1991,Naked Gun 2 1/2: The Smell of Fear
2755,1974,The Longest Yard
2757,1986,Back to School
2762,2004,The Saddest Music in the World
2769,2003,Cirque du Soleil: Varekai
2771,1984,Top Secret!
2775,2002,Friday After Next
2778,1974,Pink Floyd: Live at Pompeii: Director's Cut
2779,2003,Dr. Seuss' The Cat in the Hat
2780,1998,Dark City
2782,1995,Braveheart
2783,1993,Hocus Pocus
2791,1999,The Adventures of Elmo in Grouchland
2795,2001,The X-Files: Season 9
2796,1934,Imitation of Life: Double Feature (1934
2798,1969,The Computer Wore Tennis Shoes
2800,2001,Serendipity
2803,1995,Pride and Prejudice
2804,1999,Muppets From Space
2809,2005,Beauty Shop
2813,2004,Bad Education
2823,1985,D.A.R.Y.L.
2828,1999,Judgment Day
2831,1958,Indiscreet
2834,1961,Blue Hawaii
2847,1920,The Mark of Zorro
2848,1961,The Hustler
2851,1993,Falling Down
2852,1940,The Three Stooges: Nutty but Nice
2861,1996,Babylon 5: Season 4
2862,1991,The Silence of the Lambs
2865,1944,Going My Way / Holiday Inn
2866,1999,Message in a Bottle
2868,1987,Maid to Order
2870,2000,Captain Pantoja and the Special Services
2872,1998,Jeff Foxworthy: Totally Committed
2873,1972,Joe Kidd
2874,2003,Elf
2876,1997,Addicted to Love
2880,1975,The Wind and the Lion
2882,1988,The Accidental Tourist
2889,1997,Fast
2890,1959,Sleeping Beauty: Special Edition
2897,1990,Gremlins 2: The New Batch
2899,2004,Riding Giants
2900,1970,Two Mules for Sister Sara
2905,1998,Croupier
2908,1994,Richie Rich
2912,2003,Spider-Man: The New Animated Series: Season 1
2913,2004,Finding Neverland
2916,1994,The Last Seduction
2920,1987,Baby Boom
2921,1980,The Big Red One: Special Edition
2922,1989,Heathers
2927,1998,Everybody Loves Raymond: Season 3
2938,1994,The Best of Friends: Season 1
2940,1999,Existenz
2942,1999,Friends: Season 6
2944,1994,Hoop Dreams
2945,1979,10
2949,1998,Polish Wedding
2953,1987,Moonstruck
2954,1982,My Favorite Year
2955,1991,The Commitments
2960,2004,The Ladykillers
2965,1957,The Seventh Seal
2967,1993,Cronos
2972,2002,American Psycho 2
2974,2004,Yu-Gi-Oh!: The Movie
2980,1951,The Desert Fox
2981,2000,Saturday Night Live: The Best of Eddie Murphy
2986,1992,Man Bites Dog
2988,2000,About Adam
2989,1951,The Thing From Another World
2992,2003,The Rundown
3003,1951,The Three Stooges: Merry Mavericks
3005,1992,As Time Goes By: Series 1 and 2
3009,1968,Hellfighters
3013,1973,Westworld
3015,2004,The Final Cut
3017,1985,Cocoon
